program-name,optimization-name,execution-time,normalized-execution-time
a-few-prim2-operations.lisp,CP and Inlining and Peephole (7),668872.5999993039,0.9288893505703736
a-few-prim2-operations.lisp,Constant Propagation (1),682000.1000050979,0.9471200195423232
a-few-prim2-operations.lisp,Constant Propagation and Peephole (5),674860.1000253984,0.9372044243389579
a-few-prim2-operations.lisp,Constant Propagation and inlining (4),668147.3000753613,0.9278820984040858
a-few-prim2-operations.lisp,Inlining (2),677710.0999897812,0.9411623299491501
a-few-prim2-operations.lisp,Inlining and Peephole (6),840268.8999922248,1.1669140473373736
a-few-prim2-operations.lisp,No optimizations (0),720077.7999969432,1.0
a-few-prim2-operations.lisp,Peephole (3),684615.6000392511,0.9507522659942542
add1-n-times.lisp,CP and Inlining and Peephole (7),4019789.7999860286,0.9536278481358132
add1-n-times.lisp,Constant Propagation (1),4094753.000026685,0.9714116126362342
add1-n-times.lisp,Constant Propagation and Peephole (5),4177341.499962495,0.9910043519070351
add1-n-times.lisp,Constant Propagation and inlining (4),4160720.4999309033,0.9870612978463359
add1-n-times.lisp,Inlining (2),4888913.29996477,1.1598128514043609
add1-n-times.lisp,Inlining and Peephole (6),4781496.600026002,1.1343300372490501
add1-n-times.lisp,No optimizations (0),4215260.50004104,1.0
add1-n-times.lisp,Peephole (3),3767066.500040528,0.8936734752226705
add_1_sub_1_test.lisp,CP and Inlining and Peephole (7),693342.899921845,0.9606325732842288
add_1_sub_1_test.lisp,Constant Propagation (1),699615.6999775849,0.9693235919128499
add_1_sub_1_test.lisp,Constant Propagation and Peephole (5),699754.8999606806,0.969516454691105
add_1_sub_1_test.lisp,Constant Propagation and inlining (4),699745.5000600894,0.9695034310476891
add_1_sub_1_test.lisp,Inlining (2),687193.7999676447,0.9521129422141607
add_1_sub_1_test.lisp,Inlining and Peephole (6),701167.1000327624,0.9714730700821171
add_1_sub_1_test.lisp,No optimizations (0),721756.5999781073,1.0
add_1_sub_1_test.lisp,Peephole (3),701995.4000497819,0.9726206869061886
add_constant_basic_1.lisp,CP and Inlining and Peephole (7),698203.2999985677,0.9446801848806188
add_constant_basic_1.lisp,Constant Propagation (1),702490.5999969633,0.9504809700604243
add_constant_basic_1.lisp,Constant Propagation and Peephole (5),694900.0999156851,0.9402109025598369
add_constant_basic_1.lisp,Constant Propagation and inlining (4),689200.4999826895,0.9324992530754261
add_constant_basic_1.lisp,Inlining (2),694831.9999537489,0.9401187622267384
add_constant_basic_1.lisp,Inlining and Peephole (6),701969.5999588293,0.9497760487110865
add_constant_basic_1.lisp,No optimizations (0),739089.6000288194,1.0
add_constant_basic_1.lisp,Peephole (3),693325.9000106773,0.938080985016759
add_constants.lisp,CP and Inlining and Peephole (7),971676.3999676912,1.0958465538500386
add_constants.lisp,Constant Propagation (1),703539.9999949732,0.7934451063294146
add_constants.lisp,Constant Propagation and Peephole (5),957291.4999807834,1.0796234130197637
add_constants.lisp,Constant Propagation and inlining (4),1007107.3999824876,1.1358052677459058
add_constants.lisp,Inlining (2),714555.8000047458,0.8058686111907161
